"date","area","covid_cases_per_100k","covid_inpatient_bed_utilization","covid_hospital_admissions_per_100k","covid_19_community_level"
2022-06-02,"Alger County","54.9","3.2","11.1","Medium"
2022-06-02,"Alpena County","35.21","11.5","6.6","Medium"
2022-06-02,"Antrim County","145.77","4.3","12.6","Medium"
2022-06-02,"Arenac County","120.94","3.9","11","Medium"
2022-06-02,"Calhoun County","158.77","4.3","4.1","Low"
2022-06-02,"Cass County","67.58","3.3","5.3","Low"
2022-06-02,"Clare County","187.4","4.6","11","Medium"
2022-06-02,"Crawford County","106.92","0.4","3.2","Low"
2022-06-02,"Iosco County","111.43","3.9","11","Medium"
2022-06-02,"Iron County","216.88","4","8.7","Medium"
2022-06-02,"Jackson County","172.86","4","8.7","Low"
2022-06-02,"Keweenaw County","189.04","3.1","13","Medium"
2022-06-02,"Manistee County","142.52","4.3","12.6","Medium"
2022-06-02,"Mason County","157.84","5","11.5","Medium"
2022-06-02,"Monroe County","200","3.7","13.6","High"
2022-06-02,"Montcalm County","151.83","4.9","12.1","Medium"
2022-06-02,"St. Clair County","155.85","2.1","5.5","Low"
2022-06-02,"St. Joseph County","54.13","5","6.7","Low"
2022-06-02,"Tuscola County","135.9","5","7.3","Low"
2022-06-02,"Wayne County","212.65","4.7","12.3","High"
2022-06-02,"Allegan County","130.42","2.8","2.2","Low"
2022-06-02,"Benzie County","140.72","4.3","12.6","Medium"
2022-06-02,"Berrien County","125.81","3.3","5.3","Low"
2022-06-02,"Charlevoix County","191.26","5.4","8.3","Low"
2022-06-02,"Houghton County","148.53","3.1","13","Medium"
2022-06-02,"Huron County","203.35","5","7.3","Medium"
2022-06-02,"Ionia County","146.84","4.9","12.1","Medium"
2022-06-02,"Isabella County","94.46","4.6","11","Medium"
2022-06-02,"Kalkaska County","243.93","4.3","12.6","High"
2022-06-02,"Lake County","194.04","2.9","7.1","Low"
2022-06-02,"Lenawee County","172.67","4","8.7","Low"
2022-06-02,"Luce County","192.65","3.2","11.1","Medium"
2022-06-02,"Mecosta County","105.86","4.9","12.1","Medium"
2022-06-02,"Midland County","144.31","4.6","11","Medium"
2022-06-02,"Muskegon County","148.07","5","11.5","Medium"
2022-06-02,"Oakland County","242.37","4.7","12.3","High"
2022-06-02,"Oceana County","136.02","5","11.5","Medium"
2022-06-02,"Ontonagon County","227.27","2.1","6.5","Medium"
2022-06-02,"Roscommon County","99.92","0.4","3.2","Low"
2022-06-02,"Schoolcraft County","86.48","3.2","11.1","Medium"
2022-06-02,"Washtenaw County","344.67","4.7","12.3","High"
2022-06-02,"Baraga County","414.18","3.1","13","High"
2022-06-02,"Bay County","178.42","3.9","11","Medium"
2022-06-02,"Branch County","89.62","4","8.7","Low"
2022-06-02,"Chippewa County","179.39","5.4","8.3","Low"
2022-06-02,"Dickinson County","178.3","4","8.7","Low"
2022-06-02,"Eaton County","275.69","5.8","6.9","Medium"
2022-06-02,"Emmet County","143.65","5.4","8.3","Low"
2022-06-02,"Gogebic County","114.49","2.1","6.5","Low"
2022-06-02,"Grand Traverse County","179.4","4.3","12.6","Medium"
2022-06-02,"Gratiot County","248.09","4.9","12.1","High"
2022-06-02,"Hillsdale County","122.79","4","8.7","Low"
2022-06-02,"Ingham County","194.25","5.8","6.9","Low"
2022-06-02,"Kalamazoo County","203.35","5","6.7","Medium"
2022-06-02,"Mackinac County","277.8","5.4","8.3","Medium"
2022-06-02,"Marquette County","242.88","3.2","11.1","High"
2022-06-02,"Menominee County","114.14","4","8.7","Low"
2022-06-02,"Missaukee County","125.68","2.9","7.1","Low"
2022-06-02,"Montmorency County","75.04","11.5","6.6","Medium"
2022-06-02,"Ogemaw County","104.78","3.9","11","Medium"
2022-06-02,"Presque Isle County","190.6","11.5","6.6","Medium"
2022-06-02,"Sanilac County","94.73","2.1","5.5","Low"
2022-06-02,"Shiawassee County","155.6","5.8","6.9","Low"
2022-06-02,"Wexford County","184.35","2.9","7.1","Low"
2022-05-26,"Allegan County","149.05","4.5","3.4","Low"
2022-05-26,"Benzie County","135.09","4.8","18.6","Medium"
2022-05-26,"Berrien County","121.9","2.3","2.1","Low"
2022-05-26,"Charlevoix County","149.18","5.8","15","Medium"
2022-05-26,"Houghton County","148.53","3.5","8.7","Low"
2022-05-26,"Huron County","274.36","5.5","7.7","Medium"
2022-05-26,"Ionia County","153.02","4.3","9.5","Low"
2022-05-26,"Isabella County","145.98","3.2","8.6","Low"
2022-05-26,"Kalkaska County","260.56","4.8","18.6","High"
2022-05-26,"Lake County","168.73","2.3","4.8","Low"
2022-05-26,"Lenawee County","282.37","3.7","5.8","Medium"
2022-05-26,"Luce County","80.27","5.7","16.7","Medium"
2022-05-26,"Mecosta County","165.7","4.3","9.5","Low"
2022-05-26,"Midland County","282.6","3.2","8.6","Medium"
2022-05-26,"Muskegon County","196.47","4.6","9","Low"
2022-05-26,"Oakland County","330.16","5.2","13.4","High"
2022-05-26,"Oceana County","170.02","4.6","9","Low"
2022-05-26,"Ontonagon County","139.86","1.4","3.3","Low"
2022-05-26,"Roscommon County","149.88","2.6","9.6","Low"
2022-05-26,"Schoolcraft County","345.94","5.7","16.7","High"
2022-05-26,"Washtenaw County","455.39","5.2","13.4","High"
2022-05-26,"Bay County","238.54","4.1","6.4","Medium"
2022-05-26,"Baraga County","207.09","3.5","8.7","Medium"
2022-05-26,"Branch County","68.94","3.7","5.8","Low"
2022-05-26,"Chippewa County","187.42","5.8","15","Medium"
2022-05-26,"Dickinson County","146.6","1.3","5.8","Low"
2022-05-26,"Eaton County","284.76","5.3","4.5","Medium"
2022-05-26,"Emmet County","185.55","5.8","15","Medium"
2022-05-26,"Gogebic County","164.58","1.4","3.3","Low"
2022-05-26,"Grand Traverse County","192.29","4.8","18.6","Medium"
2022-05-26,"Gratiot County","203.88","4.3","9.5","Medium"
2022-05-26,"Hillsdale County","164.46","3.7","5.8","Low"
2022-05-26,"Ingham County","281.46","5.3","4.5","Medium"
2022-05-26,"Kalamazoo County","239.94","4.1","7.7","Medium"
2022-05-26,"Mackinac County","287.06","5.8","15","High"
2022-05-26,"Marquette County","316.35","5.7","16.7","High"
2022-05-26,"Menominee County","136.08","1.3","5.8","Low"
2022-05-26,"Missaukee County","132.29","2.3","4.8","Low"
2022-05-26,"Montmorency County","64.32","14.7","13.2","Medium"
2022-05-26,"Ogemaw County","147.64","4.1","6.4","Low"
2022-05-26,"Presque Isle County","174.71","14.7","13.2","Medium"
2022-05-26,"Sanilac County","148.17","2.8","8","Low"
2022-05-26,"Shiawassee County","198.17","5.3","4.5","Low"
2022-05-26,"Wexford County","184.35","2.3","4.8","Low"
2022-05-26,"Alcona County","105.72","14.7","13.2","Medium"
2022-05-26,"Barry County","173.84","5","11.8","Medium"
2022-05-26,"Cheboygan County","229.47","5.8","15","High"
